name,throws,age,stints,teamID,LG,POS1,W,L,CG,ShO,GP,GS,SV,GF,IPOuts, IP , ERA ,HA,ER,HRA,BBA,SOA,IBBA,WP,HPBA,BK,BFP,RA, CMD , DOM , CTL , HR9 , WHIP , WRIP ,HRBIB, RAVG , FIP , DERA , STUFF , GURU ,salary,WAR
Fe Abad,L,33,1,SFN,NL,Reliever,0,2,0,0,21,0,0,1,39,13.0, 4.15 ,9,6,2,3,9,0,1,0,0,49,6, 3.0 , 6.2 , 2.1 , 1.4 , 0.92 , 1.77 , 0.07 , 4.15 , 4.51 ,4.56, 15 , 10 ,0.197846,-0.1
Au Adams,R,28,2,SEA,AL,Reliever,2,2,0,0,30,2,0,3,96,32.0, 3.94 ,20,14,4,16,53,0,4,1,0,130,14, 3.3 , 14.9 , 4.5 , 1.1 , 1.13 , 1.75 , 0.10 , 3.94 , 3.11 ,3.04, 387 , 65 ,0.41776,-0.2
Da Agrazal,R,25,1,PIT,NL,Reliever,4,5,0,0,15,14,0,0,220,73.3, 4.91 ,82,40,15,18,41,0,0,10,0,321,43, 2.3 , 5.0 , 2.2 , 1.8 , 1.36 , 2.29 , 0.09 , 5.28 , 5.89 ,5.71, 0 , 11 ,0.217832,-0.2
Ma Albers,R,36,1,MIL,NL,Reliever,8,6,0,0,67,0,4,13,179,59.7, 5.13 ,53,34,8,29,57,3,2,3,1,258,34, 2.0 , 8.6 , 4.4 , 1.2 , 1.37 , 1.83 , 0.07 , 5.13 , 4.64 ,4.4, 43 , 22 ,2.5,0.0
Sa Alcantara,R,23,1,MIA,NL,Starter,6,14,2,2,32,32,0,0,592,197.3, 3.88 ,179,85,23,81,151,5,4,8,1,838,94, 1.9 , 6.9 , 3.7 , 1.0 , 1.32 , 1.58 , 0.06 , 4.29 , 4.54 ,4.43, 17 , 49 ,0.555,2.1
Vi Alcantara,R,26,1,DET,AL,Reliever,3,2,0,0,46,0,0,9,128,42.7, 4.85 ,45,23,8,15,24,0,3,2,0,182,25, 1.6 , 5.1 , 3.2 , 1.7 , 1.41 , 2.23 , 0.08 , 5.27 , 5.71 ,5.64, 0 , 8 ,0.429858,-0.4
Ty Alexander,L,24,1,DET,AL,Reliever,1,4,0,0,13,8,0,1,161,53.7, 4.86 ,68,29,9,7,47,0,1,2,0,235,30, 6.7 , 7.9 , 1.2 , 1.5 , 1.40 , 1.81 , 0.09 , 5.03 , 4.13 ,3.98, 66 , 30 ,0.173072,0.9
Ye Almonte,R,25,1,COL,NL,Reliever,0,1,0,0,28,0,0,6,102,34.0, 5.56 ,39,21,7,14,29,0,1,1,0,157,22, 2.1 , 7.7 , 3.7 , 1.9 , 1.56 , 2.47 , 0.11 , 5.82 , 5.49 ,5.17, 14 , 9 ,0.250656,-0.2
Da Altavilla,R,26,1,SEA,AL,Reliever,2,1,0,0,17,0,0,3,44,14.7, 5.52 ,9,9,1,12,18,1,2,0,0,64,9, 1.5 , 11.0 , 7.4 , 0.6 , 1.43 , 1.50 , 0.04 , 5.52 , 4.09 ,3.91, 94 , 19 ,0.307352,0.1
Jo Alvarez,L,30,1,PHI,NL,Reliever,3,4,0,0,67,1,1,11,177,59.0, 3.36 ,66,22,8,18,51,4,3,1,0,255,25, 2.8 , 7.8 , 2.7 , 1.2 , 1.42 , 1.66 , 0.07 , 3.81 , 4.20 ,3.93, 48 , 33 ,1.925,0.4
