name,throws,age,stints,teamID,LG,POS1,W,L,CG,ShO,GP,GS,SV,GF,IPOuts, IP , ERA ,HA,ER,HRA,BBA,SOA,IBBA,WP,HPBA,BK,BFP,RA, CMD , DOM , CTL , HR9 , WHIP , WRIP ,HRBIB, RAVG , FIP , DERA , STUFF , GURU ,salary,WAR
Jo Suarez,L,21,1,LAA,AL,Reliever,2,6,0,0,19,15,0,0,243,81.0, 7.11 ,100,64,23,33,72,1,5,10,1,375,67, 2.2 , 8.0 , 3.7 , 2.6 , 1.64 , 3.25 , 0.16 , 7.44 , 6.71 ,6.27, 6 , 9 ,0.265576,-0.6
Ni Pivetta,R,26,1,PHI,NL,Reliever,4,6,1,0,30,13,1,8,281,93.7, 5.38 ,103,56,20,39,89,2,4,4,1,421,64, 2.3 , 8.6 , 3.7 , 1.9 , 1.52 , 2.55 , 0.12 , 6.15 , 5.45 ,5.09, 28 , 19 ,0.440455,-0.1
Gi Gallegos,R,27,1,STL,NL,Reliever,3,2,0,0,66,0,1,10,222,74.0, 2.31 ,44,19,9,16,93,2,3,3,1,279,19, 5.8 , 11.3 , 1.9 , 1.1 , 0.81 , 1.43 , 0.08 , 2.31 , 3.04 ,2.85, 240 , 108 ,0.5222,1.5
Ta Guerrieri,R,26,1,TEX,AL,Reliever,0,0,0,0,20,0,0,5,79,26.3, 5.81 ,26,17,3,22,27,0,2,2,0,123,19, 1.2 , 9.2 , 7.5 , 1.0 , 1.82 , 1.97 , 0.06 , 6.49 , 5.36 ,5.3, 18 , 7 ,0.226784,-0.1
Ma Andriese,R,29,1,ARI,NL,Reliever,5,5,0,0,54,0,1,13,212,70.7, 4.71 ,72,37,8,27,79,4,9,3,2,310,37, 2.9 , 10.1 , 3.4 , 1.0 , 1.40 , 1.51 , 0.06 , 4.71 , 3.71 ,3.46, 128 , 55 ,0.92,0.7
Hu Strickland,R,30,2,WAS,NL,Reliever,2,1,0,0,28,0,2,3,73,24.3, 5.55 ,22,15,6,8,18,0,1,3,0,105,15, 2.3 , 6.7 , 3.0 , 2.2 , 1.23 , 2.79 , 0.12 , 5.55 , 6.28 ,6.08, 1 , 4 ,0.419355,-0.4
Ji Cordero,R,27,2,CHA,AL,Reliever,1,1,0,0,31,0,0,7,112,37.3, 2.89 ,26,12,4,11,31,0,1,3,0,146,12, 2.8 , 7.5 , 2.7 , 1.0 , 0.99 , 1.37 , 0.05 , 2.89 , 4.06 ,4.05, 45 , 24 ,0.214848,0.3
Ne Cortes,L,24,1,NYA,AL,Reliever,5,1,0,0,33,1,0,7,200,66.7, 5.67 ,75,42,16,28,69,1,1,1,0,298,44, 2.5 , 9.3 , 3.8 , 2.2 , 1.55 , 2.82 , 0.14 , 5.94 , 5.56 ,5.21, 39 , 14 ,0.364048,-0.3
Ga Ynoa,R,26,1,BAL,AL,Reliever,1,10,0,0,36,13,0,3,332,110.7, 5.61 ,126,69,29,26,67,1,4,3,1,480,77, 2.6 , 5.4 , 2.1 , 2.4 , 1.37 , 2.86 , 0.12 , 6.26 , 6.18 ,5.87, 0 , 14 ,0.483408,-0.4
Ji Nelson,R,30,1,MIL,NL,Reliever,0,2,0,0,10,3,0,2,66,22.0, 6.95 ,25,17,4,17,26,1,1,2,0,105,18, 1.5 , 10.6 , 7.0 , 1.6 , 1.91 , 2.59 , 0.11 , 7.36 , 5.79 ,5.39, 42 , 6 ,3.7,-0.2
Vi Velasquez,R,27,1,PHI,NL,Reliever,7,8,0,0,33,23,0,2,352,117.3, 4.91 ,120,64,26,43,130,2,5,9,0,516,69, 3.0 , 10.0 , 3.3 , 2.0 , 1.39 , 2.58 , 0.13 , 5.29 , 5.19 ,4.84, 73 , 26 ,2.249,0.7
Cl Holmes,R,26,1,PIT,NL,Reliever,1,2,0,0,35,0,0,10,150,50.0, 5.58 ,45,31,5,36,56,1,4,9,0,240,36, 1.6 , 10.1 , 6.5 , 0.9 , 1.62 , 1.72 , 0.06 , 6.48 , 4.96 ,4.76, 57 , 15 ,0.423728,-0.2
Ch Roe,R,32,1,TBA,AL,Reliever,1,3,0,0,71,0,1,11,153,51.0, 4.06 ,49,23,3,31,65,2,3,1,1,229,27, 2.1 , 11.5 , 5.5 , 0.5 , 1.57 , 1.20 , 0.04 , 4.76 , 3.30 ,3.22, 170 , 62 ,1.275,0.9
Jo Leclerc,R,25,1,TEX,AL,Reliever,2,4,0,0,70,3,14,40,206,68.7, 4.33 ,52,33,7,39,100,1,7,6,0,299,34, 2.6 , 13.1 , 5.1 , 0.9 , 1.33 , 1.59 , 0.07 , 4.46 , 3.58 ,3.47, 245 , 53 ,1.5,1.4
Da Keuchel,L,31,1,ATL,NL,Reliever,8,8,0,0,19,19,0,0,338,112.7, 3.75 ,115,47,16,39,91,1,6,9,0,487,50, 2.3 , 7.3 , 3.1 , 1.3 , 1.37 , 1.77 , 0.07 , 3.99 , 4.71 ,4.61, 24 , 29 ,13.0,0.8
Ma Wisler,R,26,2,SEA,AL,Reliever,3,4,0,0,44,8,0,7,154,51.3, 5.61 ,56,32,10,16,63,0,3,0,1,224,34, 3.9 , 11.0 , 2.8 , 1.8 , 1.40 , 2.26 , 0.12 , 5.96 , 4.21 ,3.97, 148 , 30 ,0.26972,0.4
Ye Almonte,R,25,1,COL,NL,Reliever,0,1,0,0,28,0,0,6,102,34.0, 5.56 ,39,21,7,14,29,0,1,1,0,157,22, 2.1 , 7.7 , 3.7 , 1.9 , 1.56 , 2.47 , 0.11 , 5.82 , 5.49 ,5.17, 14 , 9 ,0.250656,-0.2
Lu Garcia,R,32,1,LAA,AL,Reliever,2,1,0,0,64,2,1,18,186,62.0, 4.35 ,61,30,13,33,57,1,7,5,0,278,35, 1.7 , 8.3 , 4.8 , 1.9 , 1.52 , 2.63 , 0.11 , 5.08 , 5.93 ,5.66, 12 , 10 ,1.675,-0.5
Br Hand,L,29,1,CLE,AL,Reliever,6,4,0,0,60,0,34,54,172,57.3, 3.30 ,53,21,6,18,84,5,0,4,0,242,21, 4.7 , 13.2 , 2.8 , 0.9 , 1.24 , 1.36 , 0.07 , 3.30 , 2.78 ,2.54, 350 , 149 ,6.5,1.5
El Hernandez,R,24,1,MIA,NL,Reliever,3,5,0,0,21,15,0,1,247,82.3, 5.03 ,76,46,20,26,85,1,2,9,1,353,49, 3.3 , 9.3 , 2.8 , 2.2 , 1.24 , 2.74 , 0.14 , 5.36 , 5.57 ,5.24, 50 , 16 ,0.355096,0.0
Je Brigham,R,27,1,MIA,NL,Reliever,3,2,0,0,32,0,1,10,115,38.3, 4.46 ,36,19,8,14,39,2,6,1,0,161,20, 2.8 , 9.2 , 3.3 , 1.9 , 1.30 , 2.45 , 0.12 , 4.70 , 5.05 ,4.69, 54 , 14 ,0.292432,-0.2
Ke Giles,R,28,1,TOR,AL,Reliever,2,3,0,0,53,0,23,44,159,53.0, 1.87 ,36,11,5,17,83,1,2,0,0,208,11, 4.9 , 14.1 , 2.9 , 0.8 , 1.00 , 1.26 , 0.07 , 1.87 , 2.26 ,2.19, 433 , 246 ,6.3,1.8
Jo Tomlin,R,34,1,ATL,NL,Reliever,2,1,0,0,51,1,2,21,238,79.3, 3.74 ,82,33,14,7,51,0,2,0,0,320,35, 7.3 , 5.8 , 0.8 , 1.6 , 1.12 , 1.85 , 0.08 , 3.97 , 4.47 ,4.34, 16 , 28 ,0.959658,0.1
Ro Detwiler,L,33,1,CHA,AL,Reliever,3,5,0,0,18,12,0,2,209,69.7, 6.59 ,86,51,20,27,46,3,1,3,0,315,54, 1.7 , 5.9 , 3.5 , 2.6 , 1.62 , 3.26 , 0.14 , 6.98 , 6.90 ,6.48, 0 , 7 ,0.280496,-0.6
Ma Barnes,R,29,1,BOS,AL,Reliever,5,4,0,0,70,0,4,14,193,64.3, 3.78 ,51,27,8,38,110,2,13,2,1,285,29, 2.9 , 15.4 , 5.3 , 1.1 , 1.38 , 1.83 , 0.11 , 4.06 , 3.26 ,3.11, 391 , 76 ,1.6,1.3
Jo Smith,R,31,1,BOS,AL,Reliever,0,3,0,0,18,2,1,13,93,31.0, 5.81 ,36,20,10,8,29,1,0,3,0,139,22, 3.6 , 8.4 , 2.3 , 2.9 , 1.42 , 3.48 , 0.19 , 6.39 , 6.59 ,5.98, 17 , 5 ,8.0,-0.4
Ad Sampson,R,27,1,TEX,AL,Reliever,6,8,1,0,35,15,0,4,376,125.3, 5.89 ,156,82,29,36,101,1,4,9,1,563,86, 2.8 , 7.3 , 2.6 , 2.1 , 1.53 , 2.60 , 0.12 , 6.18 , 5.67 ,5.31, 13 , 21 ,0.543065,0.2
Da Agrazal,R,25,1,PIT,NL,Reliever,4,5,0,0,15,14,0,0,220,73.3, 4.91 ,82,40,15,18,41,0,0,10,0,321,43, 2.3 , 5.0 , 2.2 , 1.8 , 1.36 , 2.29 , 0.09 , 5.28 , 5.89 ,5.71, 0 , 11 ,0.217832,-0.2
Pe Strop,R,34,1,CHN,NL,Reliever,2,5,0,0,50,0,10,27,125,41.7, 4.97 ,33,23,6,20,49,1,4,5,0,178,24, 2.5 , 10.6 , 4.3 , 1.3 , 1.27 , 1.92 , 0.09 , 5.18 , 4.52 ,4.32, 106 , 20 ,6.25,0.0
Ch Bassitt,R,30,1,OAK,AL,Reliever,10,5,0,0,28,25,0,2,432,144.0, 3.81 ,125,61,21,47,141,0,3,13,0,612,66, 3.0 , 8.8 , 2.9 , 1.3 , 1.19 , 1.78 , 0.08 , 4.13 , 4.39 ,4.25, 68 , 43 ,0.558992,2.0
Ma Albers,R,36,1,MIL,NL,Reliever,8,6,0,0,67,0,4,13,179,59.7, 5.13 ,53,34,8,29,57,3,2,3,1,258,34, 2.0 , 8.6 , 4.4 , 1.2 , 1.37 , 1.83 , 0.07 , 5.13 , 4.64 ,4.4, 43 , 22 ,2.5,0.0
