name,throws,age,stints,teamID,LG,POS1,W,L,CG,ShO,GP,GS,SV,GF,IPOuts, IP , ERA ,HA,ER,HRA,BBA,SOA,IBBA,WP,HPBA,BK,BFP,RA, CMD , DOM , CTL , HR9 , WHIP , WRIP ,HRBIB, RAVG , FIP , DERA , STUFF , GURU ,salary,WAR
Cl Kershaw,L,31,1,LAN,NL,Starter,16,5,0,0,29,28,0,0,535,178.3, 3.03 ,145,60,28,41,189,0,7,2,1,706,63, 4.6 , 9.5 , 2.1 , 1.4 , 1.04 , 1.80 , 0.09 , 3.18 , 3.84 ,3.75, 115 , 72 ,31.0,3.4
Jo Lyles,R,28,2,MIL,NL,Starter,12,8,0,0,28,28,0,0,423,141.0, 4.15 ,131,65,25,55,146,2,4,1,0,599,72, 2.7 , 9.3 , 3.5 , 1.6 , 1.32 , 2.16 , 0.10 , 4.60 , 4.63 ,4.41, 66 , 39 ,0.694386,1.4
Iv Nova,R,32,1,CHA,AL,Starter,11,12,2,0,34,34,0,0,561,187.0, 4.72 ,225,98,30,47,114,1,7,9,0,806,107, 2.4 , 5.5 , 2.3 , 1.4 , 1.45 , 1.86 , 0.07 , 5.15 , 4.96 ,4.82, 4 , 38 ,9.166668,2.0
Jo Berrios,R,25,1,MIN,AL,Starter,14,8,1,0,32,32,0,0,601,200.3, 3.68 ,194,82,26,51,195,0,8,9,1,842,94, 3.8 , 8.8 , 2.3 , 1.2 , 1.22 , 1.55 , 0.07 , 4.22 , 3.84 ,3.74, 89 , 78 ,0.62,4.3
Ro Ray,L,27,1,ARI,NL,Starter,12,8,0,0,33,33,0,0,523,174.3, 4.34 ,150,84,30,84,235,5,7,5,0,747,91, 2.8 , 12.1 , 4.3 , 1.5 , 1.34 , 2.20 , 0.12 , 4.70 , 4.27 ,4.04, 170 , 57 ,6.05,1.9
An Sanchez,R,35,1,WAS,NL,Starter,11,8,0,0,30,30,0,0,498,166.0, 3.85 ,153,71,22,58,134,10,1,4,3,712,77, 2.3 , 7.3 , 3.1 , 1.2 , 1.27 , 1.67 , 0.06 , 4.17 , 4.43 ,4.16, 29 , 51 ,6.0,2.2
Ma Scherzer,R,34,1,WAS,NL,Starter,11,7,0,0,27,27,0,0,517,172.3, 2.92 ,144,56,18,33,243,2,0,7,0,693,59, 7.4 , 12.7 , 1.7 , 0.9 , 1.03 , 1.24 , 0.07 , 3.08 , 2.43 ,2.38, 359 , 272 ,37.505562,6.5
Yu Darvish,R,32,1,CHN,NL,Starter,6,8,0,0,31,31,0,0,536,178.7, 3.98 ,140,79,33,56,229,1,11,11,0,731,82, 4.1 , 11.5 , 2.8 , 1.7 , 1.10 , 2.16 , 0.12 , 4.13 , 4.16 ,3.95, 176 , 62 ,20.0,2.3
Jo Lester,L,35,1,CHN,NL,Starter,13,10,0,0,31,31,0,0,515,171.7, 4.46 ,205,85,26,52,165,0,3,5,0,764,101, 3.2 , 8.7 , 2.7 , 1.4 , 1.50 , 1.82 , 0.08 , 5.30 , 4.24 ,4.11, 67 , 54 ,27.5,3.2
Tr Thornton,R,26,1,TOR,AL,Starter,6,9,0,0,32,29,0,0,463,154.3, 4.84 ,156,83,24,61,149,0,5,5,0,677,87, 2.4 , 8.7 , 3.6 , 1.4 , 1.41 , 1.95 , 0.08 , 5.07 , 4.57 ,4.41, 52 , 41 ,0.555,2.0
Za Greinke,R,35,2,HOU,AL,Starter,18,5,0,0,33,33,0,0,626,208.7, 2.93 ,175,68,21,30,187,2,2,4,1,810,73, 6.2 , 8.1 , 1.3 , 0.9 , 0.98 , 1.15 , 0.05 , 3.15 , 3.20 ,3.13, 100 , 131 ,4.537635,6.4
Ja Flaherty,R,23,1,STL,NL,Starter,11,8,0,0,33,33,0,0,589,196.3, 2.75 ,135,60,25,55,231,2,6,7,0,772,62, 4.2 , 10.6 , 2.5 , 1.1 , 0.97 , 1.55 , 0.08 , 2.84 , 3.45 ,3.32, 171 , 107 ,0.5621,4.9
Ca Smith,L,27,1,MIA,NL,Starter,10,11,0,0,28,28,0,0,460,153.3, 4.52 ,128,77,33,60,168,2,6,6,1,646,82, 2.8 , 9.9 , 3.5 , 1.9 , 1.23 , 2.54 , 0.13 , 4.81 , 5.10 ,4.88, 67 , 31 ,0.5565,1.4
Yu Kikuchi,L,28,1,SEA,AL,Starter,6,11,1,1,32,32,0,0,485,161.7, 5.46 ,195,98,36,50,116,0,5,6,1,721,109, 2.3 , 6.5 , 2.8 , 2.0 , 1.52 , 2.54 , 0.11 , 6.07 , 5.70 ,5.46, 3 , 24 ,9.5,0.2
Ma Gonzales,L,27,1,SEA,AL,Starter,16,13,0,0,34,34,0,0,609,203.0, 3.99 ,210,90,23,56,147,1,2,6,1,866,106, 2.6 , 6.5 , 2.5 , 1.0 , 1.31 , 1.41 , 0.05 , 4.70 , 4.14 ,4.12, 24 , 61 ,0.9,3.7
Ma Tanaka,R,30,1,NYA,AL,Starter,11,9,1,1,32,31,0,0,546,182.0, 4.45 ,186,90,28,40,149,0,7,2,0,759,95, 3.7 , 7.4 , 2.0 , 1.4 , 1.24 , 1.76 , 0.08 , 4.70 , 4.25 ,4.13, 41 , 56 ,22.0,3.2
Wa Buehler,R,24,1,LAN,NL,Starter,14,4,2,0,30,30,0,0,547,182.3, 3.26 ,153,66,20,37,215,0,4,7,0,737,77, 5.8 , 10.6 , 1.8 , 1.0 , 1.04 , 1.30 , 0.06 , 3.80 , 2.99 ,2.93, 206 , 147 ,0.57,5.0
St Matz,L,28,1,NYN,NL,Starter,11,10,1,1,32,30,0,0,481,160.3, 4.21 ,163,75,27,52,153,7,3,7,0,691,83, 2.9 , 8.6 , 2.9 , 1.5 , 1.34 , 2.01 , 0.09 , 4.66 , 4.58 ,4.32, 56 , 45 ,2.625,2.0
Tr Bauer,R,28,2,CIN,NL,Starter,11,13,1,1,34,34,0,0,639,213.0, 4.48 ,184,106,34,82,253,0,10,19,0,911,118, 3.1 , 10.7 , 3.5 , 1.4 , 1.25 , 1.98 , 0.10 , 4.99 , 4.32 ,4.15, 126 , 62 ,4.193548,3.3
Mi Leake,R,31,2,ARI,NL,Starter,12,11,2,1,32,32,0,0,591,197.0, 4.29 ,227,94,41,27,127,2,2,10,0,835,114, 4.7 , 5.8 , 1.2 , 1.9 , 1.29 , 2.22 , 0.10 , 5.21 , 5.18 ,4.93, 7 , 37 ,3.0,0.7
Mi Soroka,R,21,1,ATL,NL,Starter,13,4,0,0,29,29,0,0,524,174.7, 2.68 ,153,52,14,41,142,1,3,7,0,701,56, 3.5 , 7.3 , 2.1 , 0.7 , 1.11 , 1.04 , 0.04 , 2.89 , 3.44 ,3.43, 62 , 91 ,0.411792,3.8
La Lynn,R,32,1,TEX,AL,Starter,16,11,0,0,33,33,0,0,625,208.3, 3.67 ,195,85,21,59,246,0,18,8,0,875,89, 4.2 , 10.6 , 2.5 , 0.9 , 1.22 , 1.29 , 0.06 , 3.84 , 3.11 ,3.08, 188 , 138 ,9.333333,6.7
