,age,stints,G,tap,AB,R,H,db,tr,HR,RBI,SB,CS,BB,SO,IBB,hbp,SH,SF,GIDP,avg,obp,slg,woba,PRO,GURU,salary,multiple_positions,ops,WAR,Rookie contract,1B,2B,3B,C,DH,OF,P,SS,bats_B,bats_L,bats_R,throws_L,throws_R
97,32,1,72.0,251.0,230.0,19.0,48.0,12.0,0.0,12.0,41.0,0.0,0.0,16.0,74.0,0.0,3.0,0.0,2.0,8.0,0.208695652,0.266932271,0.417391304,0.293426295,73.65,20.81964855,7.25,0,0.6843235750000001,-1.0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
219,31,1,161.0,680.0,597.0,97.0,155.0,25.0,1.0,34.0,97.0,3.0,1.0,78.0,166.0,2.0,2.0,0.0,3.0,11.0,0.259631491,0.345588235,0.475711893,0.355911765,242.02,79.55685016,15.5,0,0.8213001280000001,3.4,0,1,0,0,0,0,0,0,0,0,0,1,0,1
74,25,1,75.0,248.0,226.0,15.0,39.0,9.0,1.0,0.0,15.0,1.0,1.0,13.0,74.0,1.0,6.0,2.0,1.0,8.0,0.172566372,0.235772358,0.221238938,0.212419355,52.68,6.374135494,0.272785,0,0.457011296,-1.7,1,0,0,0,0,0,1,0,0,0,0,1,0,1
341,24,1,77.0,288.0,273.0,28.0,67.0,11.0,4.0,6.0,26.0,0.0,0.0,8.0,59.0,1.0,3.0,0.0,4.0,8.0,0.245421245,0.270833333,0.380952381,0.281215278,80.99,19.47594651,0.28348,0,0.6517857140000001,-0.3,1,0,0,1,0,0,0,0,0,0,0,1,0,1
590,23,1,30.0,80.0,74.0,4.0,18.0,6.0,0.0,0.0,4.0,0.0,0.0,2.0,23.0,0.0,1.0,3.0,0.0,0.0,0.243243243,0.272727273,0.324324324,0.255375,20.43,6.040774691,0.18132,1,0.597051597,-0.5,1,0,0,0,0,0,0,0,1,1,0,0,0,1
86,33,1,148.0,622.0,562.0,75.0,146.0,30.0,0.0,11.0,48.0,18.0,8.0,50.0,106.0,0.0,6.0,0.0,4.0,14.0,0.259786477,0.324758842,0.371886121,0.311334405,193.65,46.16983207,15.025,0,0.696644963,1.3,0,0,0,0,0,0,1,0,0,0,0,1,0,1
34,27,1,58.0,204.0,190.0,28.0,51.0,9.0,0.0,4.0,21.0,0.0,0.0,5.0,8.0,0.0,5.0,0.0,4.0,6.0,0.268421053,0.299019608,0.378947368,0.296617647,60.51,18.96470443,0.526925,1,0.677966976,-0.1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
525,29,1,103.0,424.0,398.0,47.0,105.0,19.0,0.0,7.0,40.0,10.0,2.0,24.0,37.0,1.0,2.0,0.0,0.0,21.0,0.263819096,0.308962264,0.364321608,0.299740566,127.09,31.46687366,13.0,0,0.6732838720000001,1.9,0,0,0,0,0,0,0,0,1,0,0,1,0,1
626,28,1,28.0,74.0,70.0,8.0,15.0,1.0,0.0,1.0,5.0,0.0,0.0,3.0,14.0,0.0,0.0,1.0,0.0,2.0,0.214285714,0.246575343,0.271428571,0.230405405,17.05,3.951548715,0.252,0,0.518003914,-0.3,0,0,0,0,1,0,0,0,0,0,0,1,0,1
258,23,1,67.0,242.0,222.0,30.0,59.0,14.0,0.0,5.0,26.0,4.0,0.0,14.0,60.0,1.0,5.0,1.0,0.0,7.0,0.265765766,0.323651452,0.396396396,0.317933884,76.94,27.23538937,0.304368,0,0.720047848,0.6,1,0,0,0,0,0,1,0,0,0,1,0,1,0
168,28,1,46.0,169.0,147.0,12.0,37.0,8.0,0.0,1.0,12.0,0.0,1.0,19.0,29.0,0.0,2.0,0.0,1.0,4.0,0.25170068,0.343195266,0.326530612,0.309171598,52.25,19.55058438,2.675,1,0.6697258779999999,-0.1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
185,27,1,89.0,285.0,265.0,31.0,84.0,18.0,0.0,9.0,37.0,0.0,0.0,15.0,31.0,0.0,4.0,0.0,1.0,9.0,0.316981132,0.361403509,0.486792453,0.36831579,104.97,51.65691688,3.75,1,0.848195962,1.5,0,0,1,0,0,0,0,0,0,0,0,1,0,1
95,30,1,84.0,236.0,207.0,24.0,52.0,9.0,0.0,8.0,32.0,0.0,0.0,25.0,59.0,1.0,1.0,0.0,3.0,1.0,0.25120773,0.330508475,0.410628019,0.326313559,77.01,29.46329163,0.95,1,0.741136494,1.0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
513,26,1,155.0,610.0,529.0,82.0,132.0,29.0,3.0,38.0,92.0,2.0,3.0,70.0,156.0,5.0,5.0,0.0,6.0,6.0,0.24952741,0.339344262,0.531190926,0.368344262,224.69,84.09323663,3.39,1,0.870535188,2.1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
236,29,1,82.0,344.0,324.0,47.0,77.0,14.0,2.0,16.0,61.0,2.0,1.0,17.0,53.0,1.0,1.0,0.0,2.0,5.0,0.237654321,0.276162791,0.441358025,0.305726744,105.17,29.57990927,11.75,0,0.717520816,-0.4,0,0,0,0,0,0,0,0,1,0,1,0,0,1
303,27,1,102.0,446.0,378.0,75.0,103.0,18.0,1.0,27.0,55.0,3.0,2.0,64.0,141.0,4.0,3.0,0.0,1.0,11.0,0.272486773,0.381165919,0.53968254,0.394977579,176.16,88.73271007,0.6843,0,0.9208484590000001,4.5,0,0,0,0,0,0,1,0,0,0,0,1,0,1
601,22,1,42.0,148.0,133.0,7.0,28.0,7.0,0.0,1.0,15.0,0.0,1.0,10.0,44.0,0.0,0.0,1.0,4.0,4.0,0.210526316,0.258503401,0.285714286,0.242094595,35.83,7.373250343,0.214848,0,0.544217687,-0.9,1,0,0,0,1,0,0,0,0,0,1,0,0,1
117,28,1,107.0,421.0,381.0,52.0,107.0,16.0,1.0,15.0,50.0,0.0,0.0,33.0,110.0,0.0,5.0,0.0,2.0,10.0,0.280839895,0.344418052,0.446194226,0.345985748,145.66,52.80781145,0.555,1,0.790612278,1.6,0,1,0,0,0,0,0,0,0,0,0,1,0,1
527,29,1,27.0,80.0,72.0,7.0,15.0,2.0,0.0,0.0,6.0,0.0,0.0,7.0,31.0,0.0,0.0,0.0,1.0,0.0,0.208333333,0.275,0.236111111,0.24025,19.22,4.837022399,0.176056,0,0.5111111110000001,-0.6,0,1,0,0,0,0,0,0,0,0,1,0,0,1
397,34,1,132.0,476.0,438.0,56.0,122.0,35.0,1.0,13.0,78.0,1.0,1.0,32.0,74.0,1.0,2.0,0.0,4.0,10.0,0.278538813,0.327731092,0.452054795,0.337289916,160.55,52.06986049,10.0,1,0.7797858870000001,-0.5,0,1,0,0,0,0,0,0,0,0,1,0,0,1
320,30,1,133.0,285.0,258.0,38.0,55.0,12.0,1.0,5.0,27.0,4.0,1.0,22.0,75.0,4.0,2.0,2.0,1.0,8.0,0.213178295,0.279151944,0.325581395,0.269578947,76.83,16.587594,9.0,0,0.604733339,-0.3,0,0,0,0,0,0,1,0,0,0,0,1,0,1
583,33,1,12.0,31.0,29.0,1.0,5.0,3.0,0.0,0.0,3.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,2.0,0.172413793,0.225806452,0.275862069,0.224516129,6.96,2.060621823,11.0,0,0.501668521,-0.3,0,0,0,0,0,1,0,0,0,0,0,1,0,1
602,26,1,144.0,558.0,462.0,73.0,96.0,17.0,0.0,30.0,76.0,0.0,0.0,92.0,149.0,2.0,2.0,0.0,2.0,4.0,0.207792208,0.340501792,0.439393939,0.343046595,191.42,61.30797373,0.5586,0,0.7798957310000001,1.2,0,1,0,0,0,0,0,0,0,0,1,0,0,1
170,30,1,41.0,130.0,120.0,17.0,32.0,4.0,1.0,10.0,19.0,0.0,0.0,7.0,39.0,0.0,2.0,0.0,1.0,0.0,0.266666667,0.315384615,0.566666667,0.368153846,47.86,31.20730708,2.0,0,0.8820512819999999,0.9,0,0,0,0,0,0,1,0,0,0,0,1,0,1
78,29,3,100.0,228.0,204.0,24.0,34.0,4.0,0.0,6.0,16.0,10.0,6.0,20.0,104.0,0.0,1.0,1.0,2.0,5.0,0.166666667,0.242290749,0.274509804,0.234254386,53.41,8.624370134,0.19981,0,0.516800553,-0.3,0,0,0,0,0,0,1,0,0,0,0,1,0,1
88,24,1,83.0,337.0,309.0,51.0,83.0,14.0,1.0,21.0,48.0,0.0,0.0,23.0,53.0,0.0,3.0,0.0,2.0,5.0,0.268608414,0.323442137,0.524271845,0.358991098,120.98,52.38096238,0.384936,0,0.847713982,0.2,1,0,0,0,0,0,1,0,0,0,1,0,0,1
558,35,1,85.0,309.0,280.0,37.0,74.0,11.0,0.0,17.0,63.0,0.0,1.0,20.0,36.0,1.0,6.0,0.0,3.0,10.0,0.264285714,0.323624596,0.485714286,0.346569579,107.09,43.59095357,4.0,0,0.809338882,0.6,0,0,0,0,1,0,0,0,0,0,0,1,0,1
565,28,1,124.0,414.0,366.0,52.0,96.0,29.0,4.0,12.0,52.0,8.0,0.0,37.0,115.0,3.0,4.0,2.0,5.0,6.0,0.262295082,0.332524272,0.461748634,0.340917874,141.14,49.51207556,3.5,1,0.794272906,1.9,0,0,0,0,0,0,1,0,0,0,0,1,0,1
507,24,1,93.0,405.0,380.0,46.0,99.0,20.0,1.0,20.0,59.0,1.0,2.0,19.0,86.0,0.0,2.0,1.0,3.0,1.0,0.260526316,0.297029703,0.47631579,0.327753086,132.74,42.3006728,0.346144,0,0.773345493,0.7,1,0,0,0,0,0,1,0,0,1,0,0,0,1
315,32,1,121.0,511.0,458.0,52.0,112.0,23.0,1.0,17.0,65.0,7.0,2.0,40.0,88.0,2.0,2.0,5.0,6.0,7.0,0.244541485,0.304347826,0.410480349,0.308082192,157.43,39.18515123,14.666668,0,0.7148281750000001,0.3,0,0,1,0,0,0,0,0,0,0,1,0,0,1
80,27,1,147.0,634.0,543.0,108.0,153.0,35.0,1.0,31.0,77.0,4.0,0.0,74.0,145.0,1.0,15.0,0.0,2.0,10.0,0.281767956,0.38170347,0.521178637,0.390126183,247.34,106.2452268,12.9,1,0.9028821069999999,4.7,0,0,0,1,0,0,0,0,0,0,0,1,0,1
471,29,1,146.0,646.0,545.0,117.0,174.0,44.0,3.0,34.0,126.0,5.0,1.0,80.0,86.0,8.0,12.0,0.0,9.0,13.0,0.319266055,0.411764706,0.598165138,0.426996904,275.84,149.3759082,18.8,1,1.009929844,6.8,0,0,0,1,0,0,0,0,0,0,0,1,0,1
518,28,1,162.0,747.0,657.0,123.0,187.0,43.0,7.0,33.0,92.0,10.0,8.0,87.0,102.0,2.0,2.0,0.0,1.0,11.0,0.284627093,0.369477912,0.522070015,0.38330656,286.33,110.6672924,5.9,0,0.8915479270000001,6.6,0,0,0,0,0,0,0,0,1,0,0,1,0,1
