name,throws,age,stints,teamID,LG,POS1,W,L,CG,ShO,GP,GS,SV,GF,IPOuts, IP , ERA ,HA,ER,HRA,BBA,SOA,IBBA,WP,HPBA,BK,BFP,RA, CMD , DOM , CTL , HR9 , WHIP , WRIP ,HRBIB, RAVG , FIP , DERA , STUFF , GURU ,salary,WAR
Da Hudson,R,24,1,STL,NL,Starter,16,7,0,0,33,32,1,1,524,174.7, 3.35 ,160,65,22,86,136,8,5,9,0,757,80, 1.6 , 7.0 , 4.4 , 1.1 , 1.41 , 1.75 , 0.06 , 4.12 , 4.91 ,4.73, 11 , 38 ,0.491965,0.6
Ad Ottavino,R,33,1,NYA,AL,Reliever,6,5,0,0,73,0,2,7,199,66.3, 1.90 ,47,14,5,40,88,3,3,2,1,283,17, 2.2 , 11.9 , 5.4 , 0.7 , 1.31 , 1.36 , 0.05 , 2.31 , 3.43 ,3.29, 187 , 63 ,9.0,1.3
Mi Soroka,R,21,1,ATL,NL,Starter,13,4,0,0,29,29,0,0,524,174.7, 2.68 ,153,52,14,41,142,1,3,7,0,701,56, 3.5 , 7.3 , 2.1 , 0.7 , 1.11 , 1.04 , 0.04 , 2.89 , 3.44 ,3.43, 62 , 91 ,0.411792,3.8
Mi Fiers,R,34,1,OAK,AL,Starter,15,4,1,1,33,33,0,0,554,184.7, 3.90 ,166,80,30,53,126,0,13,9,1,754,82, 2.4 , 6.1 , 2.6 , 1.5 , 1.19 , 1.91 , 0.08 , 4.00 , 4.95 ,4.9, 8 , 36 ,6.0,1.7
Ma Strahm,L,27,1,SDN,NL,Reliever,6,11,0,0,46,16,0,4,344,114.7, 4.71 ,121,60,22,22,118,4,3,7,1,487,61, 5.4 , 9.3 , 1.7 , 1.7 , 1.25 , 2.11 , 0.11 , 4.79 , 4.39 ,4.1, 95 , 42 ,0.5817,1.5
Ad Conley,L,29,1,MIA,NL,Reliever,2,11,0,0,60,0,2,18,182,60.7, 6.53 ,76,44,10,29,53,6,2,3,0,283,45, 1.8 , 7.9 , 4.3 , 1.5 , 1.73 , 2.13 , 0.08 , 6.68 , 5.18 ,4.7, 21 , 18 ,1.125,-0.4
Sa Tuivailala,R,26,1,SEA,AL,Reliever,1,0,0,0,23,2,0,3,69,23.0, 2.35 ,13,6,1,11,27,0,1,2,0,94,6, 2.5 , 10.6 , 4.3 , 0.4 , 1.04 , 0.91 , 0.02 , 2.35 , 3.11 ,3.15, 161 , 52 ,0.5686,0.5
Jo Soria,R,35,1,OAK,AL,Reliever,2,4,0,0,71,1,1,21,207,69.0, 4.30 ,51,33,9,20,79,1,5,3,1,278,33, 4.0 , 10.3 , 2.6 , 1.2 , 1.03 , 1.59 , 0.08 , 4.30 , 3.61 ,3.46, 151 , 54 ,6.5,1.0
Jo Smith,L,30,2,MIA,NL,Reliever,0,0,0,0,14,0,0,6,38,12.7, 6.39 ,11,9,0,11,14,2,0,3,0,64,9, 1.3 , 9.9 , 7.8 , -   , 1.74 , 0.87 , -   , 6.39 , 4.31 ,3.92, 66 , 18 ,8.0,-0.4
Lu Bard,R,28,1,LAA,AL,Reliever,3,3,0,0,32,3,0,5,147,49.0, 4.78 ,41,26,8,13,40,1,5,5,1,199,27, 3.1 , 7.3 , 2.4 , 1.5 , 1.10 , 1.90 , 0.08 , 4.96 , 4.79 ,4.64, 30 , 17 ,0.299827,0.2
