,age,stints,G,tap,AB,R,H,db,tr,HR,RBI,SB,CS,BB,SO,IBB,hbp,SH,SF,GIDP,avg,obp,slg,woba,PRO,GURU,salary,multiple_positions,ops,WAR,Rookie contract,1B,2B,3B,C,DH,OF,P,SS,bats_B,bats_L,bats_R,throws_L,throws_R
0,32,1,159.0,693.0,634.0,85.0,180.0,38.0,1.0,33.0,123.0,2.0,2.0,36.0,152.0,4.0,13.0,0.0,10.0,24.0,0.283911672,0.33044733,0.503154574,0.354834055,245.9,79.64290358,16.015,0,0.833601904,1.6,0,1,0,0,0,0,0,0,0,0,0,1,0,1
3,23,1,152.0,584.0,531.0,69.0,135.0,25.0,1.0,20.0,52.0,4.0,2.0,46.0,153.0,1.0,3.0,3.0,1.0,9.0,0.254237288,0.316695353,0.418079096,0.320256849,187.03,49.14781781,0.5624,0,0.734774449,3.3,1,0,0,0,0,0,0,0,1,0,0,1,0,1
4,30,1,111.0,333.0,310.0,42.0,70.0,14.0,0.0,20.0,56.0,0.0,0.0,20.0,115.0,1.0,2.0,0.0,1.0,7.0,0.225806452,0.276276276,0.464516129,0.314294294,104.66,32.03722581,3.0,0,0.740792405,-0.2,0,1,0,0,0,0,0,0,0,0,1,0,0,1
6,29,1,83.0,234.0,202.0,34.0,55.0,8.0,3.0,5.0,22.0,0.0,2.0,20.0,40.0,1.0,6.0,2.0,4.0,2.0,0.272277228,0.349137931,0.415841584,0.33482906,78.35,32.18400854,1.3,1,0.764979515,0.7,0,0,0,1,0,0,0,0,0,1,0,0,0,1
8,29,1,158.0,625.0,556.0,79.0,141.0,33.0,6.0,19.0,82.0,8.0,2.0,52.0,113.0,2.0,4.0,1.0,12.0,15.0,0.253597122,0.315705128,0.43705036,0.323952,202.47,53.51784011,3.6625,0,0.752755488,3.3,0,0,0,0,0,0,0,0,1,0,0,1,0,1
9,26,1,139.0,550.0,524.0,62.0,160.0,21.0,2.0,12.0,51.0,4.0,4.0,16.0,50.0,1.0,4.0,3.0,3.0,9.0,0.305343512,0.329067642,0.421755725,0.326509091,179.58,50.74539956,0.578,1,0.750823367,2.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
10,22,1,160.0,702.0,640.0,102.0,189.0,43.0,8.0,24.0,86.0,15.0,4.0,54.0,112.0,6.0,4.0,0.0,4.0,2.0,0.2953125,0.351851852,0.5,0.366210826,257.08,90.07888211,1.0,0,0.851851852,4.2,1,0,1,0,0,0,0,0,0,1,0,0,0,1
11,26,1,130.0,465.0,431.0,44.0,113.0,14.0,1.0,18.0,57.0,4.0,4.0,22.0,154.0,1.0,10.0,0.0,2.0,12.0,0.262180975,0.311827957,0.424593968,0.321204301,149.36,42.93779671,0.57,1,0.7364219249999999,1.3,0,0,0,0,1,0,0,0,0,0,0,1,0,1
13,25,1,34.0,71.0,65.0,4.0,14.0,4.0,0.0,0.0,3.0,0.0,0.0,6.0,21.0,3.0,0.0,0.0,0.0,2.0,0.215384615,0.281690141,0.276923077,0.257464789,18.28,5.765062696,0.2984,1,0.5586132180000001,-0.3,1,0,0,0,1,0,0,0,0,0,1,0,0,1
14,26,1,89.0,256.0,231.0,30.0,53.0,9.0,3.0,4.0,27.0,8.0,2.0,11.0,53.0,1.0,9.0,4.0,1.0,3.0,0.229437229,0.28968254,0.346320346,0.279726563,71.61,17.71617741,0.370599,0,0.636002886,0.6,0,0,0,0,0,0,1,0,0,1,0,0,0,1
16,25,1,130.0,363.0,339.0,41.0,80.0,11.0,1.0,12.0,32.0,2.0,1.0,16.0,62.0,4.0,1.0,5.0,2.0,8.0,0.235988201,0.270949721,0.380530974,0.278980716,101.27,21.93895904,0.56253,0,0.651480695,-0.5,1,0,0,0,0,0,1,0,0,0,0,1,0,1
17,25,1,161.0,693.0,597.0,103.0,155.0,30.0,2.0,53.0,120.0,1.0,0.0,72.0,183.0,6.0,21.0,0.0,3.0,13.0,0.259631491,0.357864358,0.582914573,0.395757576,274.26,118.4942939,0.555,0,0.9407789310000001,4.4,1,1,0,0,0,0,0,0,0,0,0,1,0,1
18,32,2,121.0,335.0,292.0,34.0,58.0,13.0,0.0,10.0,37.0,0.0,1.0,39.0,70.0,3.0,2.0,0.0,2.0,13.0,0.198630137,0.295522388,0.345890411,0.288656716,96.7,23.59411483,0.205896,0,0.641412799,-1.3,0,1,0,0,0,0,0,0,0,0,1,0,0,1
20,29,1,124.0,548.0,500.0,89.0,149.0,27.0,3.0,31.0,74.0,6.0,5.0,41.0,82.0,0.0,3.0,1.0,3.0,19.0,0.298,0.352833638,0.55,0.382445256,209.58,90.02382711,9.5,1,0.902833638,4.3,0,0,1,0,0,0,0,0,0,0,0,1,0,1
21,22,1,87.0,369.0,313.0,58.0,98.0,26.0,0.0,27.0,78.0,0.0,0.0,52.0,94.0,4.0,2.0,0.0,2.0,9.0,0.313099042,0.411924119,0.654952077,0.445338753,164.33,121.6510884,0.337192,0,1.066876196,3.6,1,0,0,0,0,0,1,0,0,0,1,0,0,1
24,26,1,123.0,518.0,498.0,81.0,167.0,32.0,0.0,18.0,56.0,17.0,5.0,15.0,109.0,0.0,3.0,0.0,2.0,12.0,0.335341366,0.357142857,0.508032129,0.372837838,193.13,79.15703535,1.4,0,0.865174986,4.5,0,0,0,0,0,0,0,0,1,0,0,1,0,1
25,30,1,147.0,648.0,600.0,81.0,165.0,27.0,4.0,12.0,72.0,31.0,8.0,34.0,96.0,1.0,4.0,0.0,10.0,16.0,0.275,0.313271605,0.393333333,0.309259259,200.4,46.25603651,15.25,0,0.706604938,1.9,0,0,0,0,0,0,0,0,1,0,0,1,0,1
28,24,1,152.0,546.0,494.0,51.0,110.0,16.0,1.0,15.0,59.0,8.0,5.0,43.0,109.0,5.0,1.0,2.0,6.0,15.0,0.222672065,0.283088235,0.350202429,0.279413919,152.56,28.65047927,0.5657,0,0.633290664,-0.9,1,0,0,0,0,0,0,0,1,0,0,1,0,1
29,28,1,155.0,662.0,588.0,102.0,185.0,31.0,2.0,41.0,118.0,3.0,2.0,62.0,93.0,11.0,4.0,0.0,8.0,14.0,0.31462585,0.379154079,0.583333333,0.40641994,269.05,126.7663199,26.05,0,0.962487412,6.5,0,0,0,1,0,0,0,0,0,0,0,1,0,1
31,22,1,92.0,366.0,326.0,54.0,109.0,20.0,1.0,4.0,28.0,2.0,2.0,36.0,29.0,1.0,1.0,0.0,3.0,2.0,0.334355828,0.398907104,0.438650307,0.372759563,136.43,63.33072328,0.361064,1,0.837557411,1.8,1,0,1,0,0,0,0,0,0,0,1,0,0,1
